Gene names (ordered locus ),log2FC,p_value,fdr,n_obs,n_growth_rates,mean_formate,mean_phosphate
MMP1504,1.8285936218218766,2.148504652761769e-06,0.001340666903323344,12,2,-0.5945490909940631,-2.4231427128159404
MMP1503,1.9087557689072046,8.766974155150918e-06,0.0027352959364070864,12,2,0.006419241792853192,-1.9023365271143522
MMP1301,1.1274873001211692,2.83213450081591e-05,0.004850489583947164,12,2,1.4336429153335297,0.3061556152123604
MMP1154,-2.3782160343016,3.109288194837926e-05,0.004850489583947164,11,2,0.40874009306359754,2.6646055717563444
MMP1155,-1.9556987518019178,9.231392957150634e-05,0.011520778410523992,11,2,1.1603992915384131,3.1903270965912407
MMP1015,1.7221163012125167,0.00022295283083442025,0.02159812675639449,12,2,1.895081793159541,0.17296549194702315
MMP1371,1.4612062175762675,0.00034612382622427063,0.02159812675639449,12,2,-0.2277217330149146,-1.6889279505911825
MMP0076,1.2553920700242098,0.00030241749250579415,0.02159812675639449,12,2,0.5966971489821021,-0.6586949210421085
MMP0058,0.8688671887980254,0.0003241357075525667,0.02159812675639449,12,2,0.9436607697457507,0.07479358094772508
MMP0123,-2.311352929811528,0.00026431065259546434,0.02159812675639449,12,2,-0.1047397112751523,2.206613218536377
MMP0295,-1.6820521886155597,0.00044063047805917646,0.024995765300811466,10,2,-0.7416544011195194,1.2041287408856909
MMP1071,2.176567629518891,0.0006045036230059235,0.025336526765769578,6,2,1.3309436643054449,0.32899405397445664
MMP1207,1.2099151359790175,0.0005580928216059487,0.025336526765769578,12,2,-0.011606575010005457,-1.2215217109890235
MMP1359,-1.1043362036908593,0.0006090511241771534,0.025336526765769578,8,2,-0.10164020394859619,1.0689168625896392
MMP0126,-2.2190229320190293,0.0005549270394787307,0.025336526765769578,11,2,-1.770335366220035,0.5044074192367505
MMP1347,0.9574550803718382,0.0008132594819205048,0.03171711979489969,12,2,0.5691510757261962,-0.3883040046456426
MMP0975,2.21535034506074,0.0009019818463912668,0.0331080395381265,11,2,1.2075080041129205,-0.9178775378106762
MMP1045,0.7465361006246324,0.001039415381900693,0.03603306657255736,12,2,-0.07552037540518448,-0.8220564760298171
MMP1566,1.3027980509210617,0.0012323279333478665,0.03661774430519375,12,2,0.44355586367933225,-0.8592421872417297
MMP1567,0.9452051596860214,0.0011823025787441597,0.03661774430519375,12,2,0.7191048620324235,-0.22610029765359826
MMP0153,-1.8340360269975373,0.0011835153355668553,0.03661774430519375,10,2,-0.18191926957510937,1.6521167574224271
MMP0540,-1.176244517289978,0.0013839877412284531,0.03925492502393431,12,2,-0.8816813485300682,0.29456316875991045
MMP1720,-1.8636701729736662,0.001547631841365318,0.041987924739650365,11,2,0.14899087987920617,1.9524586836667506
MMP0176,0.7828076481318438,0.0018900138068807804,0.047174744619744274,12,2,0.3252598068479842,-0.45754784128386
MMP1223,-1.7862729965867044,0.0018273110549066425,0.047174744619744274,9,2,0.6345740030399816,2.302139495180625
MMP1299,1.1101698219927205,0.0023639213673650743,0.053101174590609354,12,2,1.0437753812530697,-0.06639444073965171
MMP0297,0.7479967958530882,0.002312003452435144,0.053101174590609354,12,2,-0.1020551327963267,-0.8500519286494153
MMP0039,-1.352141118793375,0.002382745013681189,0.053101174590609354,7,2,0.3336608518655601,1.6138521279624474
MMP1560,0.9978467857515219,0.0025697104758568255,0.05529308058395376,11,2,0.32939305248006223,-0.7208963544265236
MMP1021,1.768442136062915,0.0030448734437497796,0.06129035577096331,11,2,1.222630755166203,-0.5689435285916733
MMP0542,-1.308730928306651,0.0029617894068486497,0.06129035577096331,12,2,0.6062432448009805,1.914974173107632
MMP1189,1.9974101147381746,0.00402496627421573,0.06601308073130183,11,2,0.48588898835463956,-1.4597778880756804
MMP0952,1.4089232605363065,0.003744900132515839,0.06601308073130183,12,2,0.30108012275236856,-1.1078431377839386
MMP1505,0.9462315686691125,0.0037540435280901843,0.06601308073130183,12,2,-0.506893190584672,-1.4531247592537848
MMP1298,0.8207403222033576,0.0042316077391860146,0.06601308073130183,12,2,1.2166170302658366,0.39587670806247827
MMP1515,0.6378355197357861,0.0035730168388712446,0.06601308073130183,12,2,-0.14470595554212948,-0.7825414752779158
MMP0687,-1.018705480709419,0.0040951925356796925,0.06601308073130183,12,2,-0.07266381852127474,0.9460416621881448
MMP0091,-1.6652528372267554,0.0036517172811459894,0.06601308073130183,11,2,0.1525658809622,1.981441409781168
MMP1634,-2.1470879101474853,0.003998489324787092,0.06601308073130183,11,2,0.5180453584414261,2.7246562235149723
MMP1085,-2.443087485355778,0.004149767501991211,0.06601308073130183,6,2,-1.2802265659119683,0.7453693311960308
MMP0311,1.684934232875421,0.004515578215752274,0.06708859063403379,8,2,1.6842242159070548,-0.22937593483324825
MMP1565,0.9875757438834233,0.0044491521455420424,0.06708859063403379,10,2,0.34413123391331385,-0.643444509970109
MMP1621,1.4364097765981017,0.005560522103002292,0.07947523957326477,6,2,-0.23277862676682276,-1.4399073622710046
MMP0040,-2.2316163393931845,0.005604023303243028,0.07947523957326477,10,2,0.3956717617192897,2.7818795381797865
MMP1524,-1.4516490595495468,0.006397714876824365,0.08871497962529787,11,2,-1.1908741361196846,0.2946218796544591
MMP1545,1.0701838228197236,0.0068037306754569855,0.09229408568445997,12,2,-0.11183135512628006,-1.1820151779460042
MMP0370,-1.4100782731623727,0.0072362413772765624,0.09607265147703352,8,2,-0.7645455098643444,0.6455327632980279
MMP1321,0.7496891319456809,0.007397212886043083,0.09616376751856007,12,2,-0.09403482135388197,-0.8437239532995631
MMP0836,-1.0168498239161683,0.00793883249221987,0.1010986015335755,12,2,0.30293156534264476,1.3197813892588135
MMP1222,0.8006444306654831,0.008656443884147162,0.10803241967415657,12,2,0.46347729251986486,-0.33716713814561844
