gene,mean_formate,mean_phosphate,n_formate,n_phosphate,log2FC
MMP0058,1.0113991767482429,0.010909118675037105,12,12,1.0004900580732057
MMP0138,,,0,0,
MMP0139,,,0,0,
MMP0200,,,0,0,
MMP0372,0.7835695743238359,0.32901897434775057,12,12,0.4545505999760853
MMP0508,,,0,0,
MMP0509,,0.9139565554612908,0,1,
MMP0510,,,0,0,
MMP0511,,,0,0,
MMP0512,,,0,0,
MMP0825,1.3053526867075576,1.176155262839021,12,12,0.1291974238685365
MMP1248,0.5079984875016561,-0.14713680181508146,12,12,0.6551352893167376
MMP1297,1.3978586811180698,0.6250199656835825,12,12,0.7728387154344872
MMP1298,1.3075132898074977,-0.07746668172169713,12,12,1.3849799715291948
MMP1301,1.5009638706109094,0.12777841729330672,12,12,1.3731854533176027
MMP1555,0.7368461424317153,0.6174760160329621,12,12,0.11937012639875322
MMP1558,0.7909189201146848,-0.021292345195745507,12,12,0.8122112653104303
MMP1559,0.7955941524631704,0.10306840872954122,12,12,0.6925257437336292
MMP1691,-0.48685349834740094,-0.7856304871723527,12,8,0.2987769888249518
